,name,titles,rating,comments
0,Abhishek,iPhone 11 review,2,"iPhone11 Review A person who uses every major application of a phone such as a camera, notes, gaming, binge-watching, and also wants his phone to run smoothly for at least 3-5 years may go for iPhone11. According to my experience, I would suggest the iPhone11 as the best choice because I’ve been using Android for the last 5 years and the issue which I was facing with my phone was, it started to hang within 2-3 years of its purchase. It also began to overheat if I would continuously use its activities such as watching videos or playing games. Besides, the major issue with an android phone is privacy. It requires that data on mobile devices has to be transmitted to Google servers, which is used for targeted advertising. This makes Android a less private mobile operating system. I remember that whenever I used to search for a product on the Amazon app, my phone was flooded with ads of the searched product. So, to get rid of all of the above issues I  thought to give a try to the iOS operating system instead of buying another Android phone. Apple is committed to its customer privacy, and their phones also come with a powerful CPU(Central Processing Unit) which makes them compatible to do with multitasking for a long duration without facing any problem. Among all the iPhone models, I found iPhone11 budget-friendly. Being the latest model it covered various shortcomings of old models. It has better performance, great durability, a dual-camera system, and many other features.  One of the most important reasons why I chose the iPhone11 over former iPhones is that it comes with an A13 Bionic chip and is the fastest CPU ever in a smartphone which falls under the price range of this phone. With this powerful beast, I can perform various multitasking without experiencing any lag. It also has the best GPU(Graphical Processing Unit) which allows you to watch videos at their highest graphics. I remember when I used to play games on my old phone it suddenly stop but now my experience with the new iPhone11 in terms of gaming is amazing, the whole game runs smoothly without any frame drop. However, I would not recommend gaming on iPhone11 for a long time because it starts to overheat. Additionally, its iOS 14 update is the best update I have ever seen on any smartphone. One of my favorite features in this update is ‘picture in Picture’ in which I can continue to watch a video or make a FaceTime while we are using another app. Such type of amazing applications help me to provide the best possible performance especially when I use my phone for multitasking.  Apple claims that they had used the toughest glass on the back and in front in iPhone11 and its aluminum case provides extra durability to it. Apart from this it also comes IP68 rating which means it is fit enough to withstand dust, dirt, and is resistant to submersion up to a maximum depth of 1.5m underwater. I had also seen many youtube videos in which people do the toughest test on iPhone11 such as they make it sink in the water for an elongated time and when they take it out it works completely the same as it was before. Such waterproofing makes it possible to take underwater pictures and videos which are pretty amazing.  Iphones are already quite famous for their camera quality but it becomes even better with iPhone11. iPhone11 comes with an amazing dual-camera system which means that now users have a choice to shoot photos or videos in wide and ultra-wide mode. It also comes with stereoscopic depth which allows taking portraits of all the objects. It is one of the major changes that the iPhone has undertaken because, in earlier iPhones, users were able to take a portrait of the human face only. It also comes with night vision mode which helps to capture the photos in dim light places which is a very useful feature for me because as compared to my earlier phone there was no such option to do the same. It can be used for a variety of different hobbies such as if you are a vlogger you can use it to shoot videos in 4k and if you are an amateur photographer you can use it to capture the finest photo which can ever be taken on a smartphone.  Along with that one of the crucial features that I like about the iPhone is its astonishing “continuity feature” that makes it seamless to connect all the Apple devices altogether. for example, through this feature, we can make cellular calls with any of the Apple devices which are connected to your iPhone.As I am also looking forward to buy a Macbook, this feature will help me a lot in completing my college assignments as with the help of this feature I can use my iPhone to scan documents or take a picture and have it appear instantly on my Mac, and Apple continues to add such type of incredible and unique features that can make your work easier.  Being a college student I accept that Rs.72,0000 price tag seemed to be a little steepy but,  my experience with this phone has proven it to be worth the cost. After years of purchasing random phones that promised me to provide the best experience in terms of durability, performance, camera quality it is the iPhone11 which finally delivered such claims. I personally recommend you to buy this complete package of the newest technology presently available."
1,malleshk,2 years completed,4,Battery lifePhone performanceCalling feature/quality Suberb
2,PR,Beast with a limp,5,"Been almost 10 months I have been using the iPhone 11 128 GB. Apple is known as one of the premium phone manufacturers who do not compromise on quality, user experience and simplicity (company claims). It is certain that the Apple products have a brand appeal in the Indian market. This appeal allows them to charge a surplus from the customers for their products. Opinions differ if this is justified. For me, I like to evaluate the phone’s features with the cost.The build quality And design of this phone is absolutely fantastic! Curves at the right places, the tactile buttons, it just screams premium. When you pick up the phone, you feet the weight. I came into this phone from a Samsung galaxy and the first thing I notice is the disparity in the weight. This is probably due to the LCD screen on the former as compared to OLED in the galaxy series. The screen on Iphone 11is a “Liquid Retina display”; fancy term for a highly polished, well optimised LCD screen. It is a good screen. It is just slightly above 720p resolution but in everyday activities most people won’t notice it. I noticed it. For me, the screen is a major downside of this phone. You are shelling out almost 70000 ₹, the customer deserves at least a 1080p (full HD) screen. Today when most of the “budget” phones come with 1080p screen, the step back by Apple is definitely not appreciated. It is also necessary to mention, I prefer OLED screen over LCD due to their deep blacks and high contrast ratio. But surprisingly, this LCD screen on the iPhone is better than a few OLED screens I compared it to!(albeit comparing at the same resolution)- Xaomi note series, vivo and oppo. Only Samsung screens were ridiculously amazing even in their M series phones.Another positive of iPhone is the amazing battery life. I am a very heavy user with lots of videos, streaming music all the time, Bluetooth on, WiFi on, location on, browsing, multiple calls daily, video conference meetings, push email- official and personal, light browsing on social media sites and a lot of photos/videos. This beast survives the whole day! But the thing that irks me is the puny 5 watt charger in the box. It takes close to 3 h to charge from 10% to 96%! I suggest you buy a 12 watt charger that is sold separately. Apple should have provided a 12 watt charger in the box at the price point.Another frustrating part of the Apple ecosystem is the iCloud storage that essentially is required if you want to back up phone/photos etc. this costs 79₹ for 50GB PER MONTH. Apple pulls you into their ecosystem with their services, which I must say are excellent. The Apple ecosystem is stress free and just seamless. The phrase “it just works” really works here. I have an MacBook Pro and the iPhone works really well with my laptop allowing me to answer calls, messages right from my laptop.The one feature I wasn’t too sure of, which grew on me until the start of pandemic, is the face recognition. It’s safe, secure and absolutely amazing. It works for all authentication requirements of the phone and is beautiful. I understand now the appeal of face recognition and the “soli” chip on the google pixel4. Btw, the pandemic and the accompanying masks have created a hurdle for the face recognition. Today I wonder if the fingerprint would have been better than the fancy face recognition.One of my favourite is the cameras! It’s Apple! They made their name and reputation on cameras. I won’t say too much on this topic as it’s well known. Only google pixel can compete in the photos department but they iPhone is definitely the video kings.Another key area in which Apple has made their name is the security, encryption and privacy policy. This is one of the major reasons for their premium price tags.I give this phone a very enthusiastic 4 stars. I wish they improve the screen at this price point to at least a 1080p and include a respectable charger in the box. I have not talked about the OS as I believe iOS or android is a personal choice and I am reviewing the key features of the iPhone and it’s hardware."
3,stella,The best iPhone - perfect combination of features!,4,"This is my first iPhone. After being an Android enthusiast and loyalist for over a decade, poor Pixel design and besting camera of iPhone 11 made me switch to the walled garden. Coming from Samsung Galaxy S7 Edge I had my doubts on the LCD screen and low resolution, but believe me my doubts were unfounded. The screen on iPhone 11 is crisp and clear, with good color accuracy and balanced punch. I did a lot research comparing iPhone 11, the pro and max models as well, along with Note 10 and OnePlus 7T Pro. Comparing them side by side, iPhone 11 always came out on top in camera department - the most important criteria for me (which had made me choose S7 years ago). I also looked at iPhone XR, but the 11 offers substantial updates over XR.-----------------------************------------------------Here are the pros from the last few days of usage:1) Excellent battery life - I consistently end my day at 40+ %. All while I am still exploring the phone (and hence using it more).2) Dual camera system - the normal iPhone 11 makes the perfect compromise from the pro models - retaining the same primary sensor and wide angle sensor - I can live without the telephoto. Essentially the same quality as the pro. Pictures are true to life, accurate in color and great HDR. Low light performance is again top notch.3) A13 bionic and butter smooth experience. Never experienced lag free ui before - even 12GB RAM model Note 10 stuttered when testing.4) Promise of timely updates, straight from Apple. No OEM BS. This is an underrated and misunderstood parameter. I am paying comparable money for Android phones and getting latest OS after 6+ months and that too for only 2 years (followed by 1 year of security updates). Apple's promise of 5 year updates is reassuring - with increasing use of financial transactions on mobile getting security releases and bug fixes on day of release is critical.5) Build quality and design are unparalleled. Love the design - grows on you. Apple is a premium brand and you can feel the attention to detail in alignment of ports, ui elements, the milled camera cutout, etc.6) Gestures - Android does a piss poor job of this. Samsung's dumb implementation on Note 10 killed it for me. I don't need a split pill for the sake of it and call it Gestures. iOS does it so much better and in an intuitive style. I wonder how I was using my phone in now what feels like an archaic way through back button (and pixel's implementation is pathetic and confusing).7) Face ID is way more convenient that fingerprint and security unmatched on Android. I don't need to fiddle any more with my fingers to unlock and then navigate the phone. Seems Face ID and Gesture navigation complement each other to make a powerful and smooth user experience. I can navigate the phone instantly so my hands dont need to first fiddle with a fingerprint scanner and then shift the hold and focus to navigation. It's these small things that makes Apple what it is - a pleasurable experience.------------------------***********-----------------------Cons:1) LCD - The phone's biggest weakness is the screen. Don't get me wrong its an excellent LCD, only marred by lack of true blacks. Even then I am using the dark mode coz I like it.2) Photos app froze once for me when trying to share a large number of live photos on Whatsapp. Had to restart the phone to solve the issue. Hope this was an one off error.3) 5W charger - at this price it's fair to expect a fast charger, given the phone is capable of fast charging.4) Few apps that were free on Android are paid on iOS. I was surprised to find this. Nonetheless I bought the app as it was critical for me (didn't want to lose years of data from Android).5) Default zoom and text size make it difficult to read the text. Increasing either makes the screen seem less sharp.6) 3rd party keyboard - cannot be used in some apps. Only the pre-installed Apple keyboard shows up (maybe some security reason). This leads to poor trying experience. E.g. in the Outlook app SwiftKey never shows up. Can't get my head around this, as this breaks an otherwise smooth experience.--------------------************----------------------Final words - go for iPhone if you can afford it. Comparable Android flagships are way behind as an experience and complete package.***************************************Love the black color.***************************************Fun fact - tempered glass and case ordered an hour the phone were delivered the next morning and the phone was delivered late in the evening after continued follow up with customer care."
4,Gurlal Singh,good,5,good product
5,MSA,camera and battery,4,"Everyone talks about the camera quality of iphone but still my camera pictures not having a good quality of images.also display glass is very light  once it’s dropped from 2ft it will break and replacement charges 20k plus tax,😢"
6,Abhishek,Amazing as always.,2,Amazing as always.
7,NUSHOOR,Very Good,4,Good.
8,Chandan Kumar babu,Amazing phone,5,I was very confuse that Should i buy or not iphone 11 but i giving you my honest review I used this phone 11 for 1 year I haven't found any deficalty  or any tyep of problem No never battery life is also really great We can download any thing what ever we want I really like iphone 11 phone and i got this phone is a very chip rate thank You Amazon love you so much🌸🌸🌸🌸
9,Austin Shameju Cherakkal,So far so good...(1 week user),4,"I am a first time and new iphone user after decades of Android ownership - Blackberry and OnePlus 3 this past decade. One of the main reasons for buying the iphone 11 was price came down during independence day sale week!This is why I decided against a new OnePlus:1. Ear piece on the phone is extremely poor even with calls on speaker.2. Camera is beyond awful. Problems 1 and 2 could not be resolved even after giving piece to OnePlus dealer.3. In the 4th year, weird things started happening - calls without showing caller, youtube plays without volume, calls with caller Id but with no volume, among other problems.That said, user interface and general phone speed were good and reception was decent. As I'm planning a Mac, decided to get iphone and based on reviews, decided to get 11 instead of X or SE primarily because of A13.I'm a regular user and am not active on social media and don't use phone for gaming either. Uses are - calls and basic browsing. As I'm working from home, don't even use it for Amazon, Netflix etc which I see on TV. So, based on this usage, here's my one-week review.First, I was apprehensive on what Apple sells with the phone so I even bought a wireless charger (https://www.amazon.in/gp/product/B085W5BQ5H/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1) and Basics ear phone. Thankfully, iphone 11 comes with charger and earphones.Appearance of 11 - given my usage etc., I don't particularly care for looks of any phone - as long as ergonomically convenient, I'm fine. The phone feels lighter than my OnePLus 3 and even Samsung M21. Sleek and looks good. However, I would recommend red colour if you don't mind it - black is a little staid and anyway you use covers for phones.User interface - I didn't have any problem with OnePlus and so far, Apple seems to be fine. sufficient speed in opening and closing apps and easy to navigate. I just figured how to toggle screens - it's a little tougher than on Android phones, but I guess you will figure it out.Camera - compared to OnePlus - AWESOME. incredibly sharp, the night camera is awesome and it's got panorama as well.Speaker - AWESOME. given my problem with One Plus, this is awesome.Charger and battery - stock charger is decent - but it does take about 2 hours to charge from 20%. Battery life lasts easily 24+ hours. But then my usage is also minimal - right now I'm charging once in 2 days. Wireless charging (RAEGR Arc 400) is quite slow. the OnePlus was amazing in this area and fast charge is missed.earphones - Thankfully iphone 11 uses charger jack for earphones. the stock ear phone is decent - fits snugly and has decent wire length and audio is decent. the Amazon basics one is also decent.Overall user experience:Pros - a good overall experience and barring minor points stated below, i'm happy with the iphone 11.Downloading and installation of Apps - straghtforward and decent.Call signal quality etc. - quite good, no complaints.Don’t worry about Face ID it works well in the dark as well. If it doesn’t you just need to use your passcode so it isn’t bad. For the most part it’s quit consistent. Keyboard experience more or less similar to android so nothing different there either.Cons - 1. it appears that phone numbers can't be copy-pasted from internet to dial pad - and it's a pain.2. screen/mirror casting isn't working on a Croma TV as easily or sometimes at all.3. easy of navigation between Chrome Windows on Google isn't as easy as on Android - you can easily move back and forth between tabs opened on Google - can't do that that easily here.One other point - transfer of data from Android to iphone was hardly a problem - the iphone takes you through the process. Data gets backed up to your iCloud and you can access it and deal with it.Hope this review helps next buyer."
